"log.r","log.Cr.2","log.Cr.3","log.Cr.4","log.Cr.5","log.Cr.6","log.Cr.7","log.Cr.8","log.Cr.9","log.Cr.10","log.Cr.11","log.Cr.12","log.Cr.13","log.Cr.14","log.Cr.15","log.Cr.16","log.Cr.17","log.Cr.18","log.Cr.19","log.Cr.20"
-6.18181818181818,-4.49495538979089,-8.69817696649674,-12.7585048903619,-16.7298283883458,-20.6383311905406,-24.4995404043228,-28.3238942893911,-32.1189613866211,-35.8904595020546,-39.642799473398,-43.3794230328464,-47.1030373812964,-50.8157878111348,-54.5193876609025,-58.2152167488814,-61.9043959751482,-65.5878438713898,-69.266319540755,-72.9404553880625
-6.06060606060606,-4.37700412711348,-8.46498259755736,-12.4116552821065,-16.2702225142733,-20.0666002687766,-23.8161760016012,-27.5292333884509,-31.2131520066928,-34.8734509359948,-38.5143594042635,-42.1391708611744,-45.7504830914712,-49.3503693507156,-52.9405032912446,-56.5222511675308,-60.0967403079781,-63.6649102312949,-67.2275510506491,-70.7853325661759
-5.93939393939394,-4.2585462764306,-8.23119252660828,-12.064041238391,-15.8097410490503,-19.4939378722007,-23.1317987818967,-26.7333672151645,-30.3057680567627,-33.854275893127,-37.3829062217773,-40.8947805245614,-44.3923692441873,-47.8776605825663,-51.3522803770148,-54.8175781945194,-58.2746895909705,-61.7245814203311,-65.1680850780535,-68.60592117226
-5.81818181818182,-4.14077056876117,-7.99926559812345,-11.7196782997589,-15.3543280216912,-18.9288326036241,-22.4583179904421,-25.9527042849757,-29.4189321938274,-32.8620679123757,-36.2859213729802,-39.6934262629734,-43.0868895124044,-46.4681618787698,-49.8387572662593,-53.199937164075,-56.5527707216229,-59.8981775978911,-63.2369586024716,-66.5698177232151
-5.6969696969697,-4.02350276411727,-7.76764393184508,-11.3753247293341,-14.8986106305808,-18.3631893615683,-21.7843013787168,-25.171936551376,-28.5330514911664,-31.8726873586042,-35.1946008283526,-38.5016521866098,-41.7960595371769,-45.079572653964,-48.3535953003115,-51.6192728424107,-54.8775556668712,-58.1292453367132,-61.3750282645002,-64.6155003043266
-5.57575757575758,-3.90672197034424,-7.53738023681174,-11.0333180550574,-14.4460112559779,-17.8010998794727,-21.1139681933791,-24.3947862760387,-27.6506756207902,-30.8868109595889,-34.1070459561278,-37.3143000772951,-40.5108139900442,-43.6983262863825,-46.878199741921,-50.0515134283154,-53.2191308217691,-56.3817505940108,-59.5399446988594,-62.6941870419904
-5.45454545454545,-3.79079475052023,-7.30889176119259,-10.6933919086669,-13.9949659926291,-17.2390480070138,-20.4411009465027,-23.6114855890284,-26.7575383060379,-29.8846299653664,-32.996773202103,-36.0970048095517,-39.1876440069385,-42.2704751287078,-45.3468804587347,-48.4179383180856,-51.4844961194731,-54.5472250538538,-57.6066611717521,-60.6632363386213
-5.33333333333333,-3.6748564212477,-7.08051369054067,-10.353345840556,-13.5425804048229,-16.6730607174851,-19.7601979688198,-22.8145635790298,-25.8437859677096,-28.8535122783827,-31.8479751402969,-34.8303669993369,-37.8031057189864,-40.768029810558,-43.72654385766,-46.679727158059,-49.6284148199773,-52.5732582098781,-55.5147699739285,-58.4533575794183
-5.21212121212121,-3.55929661725093,-6.8534754084348,-10.0155683458774,-13.0928499279432,-16.1094236641848,-19.0807214030853,-22.0176752913494,-24.9283477440346,-27.8187627868278,-30.693430333547,-33.5557232757222,-36.4081632563518,-39.252638802152,-42.0905702626563,-44.9230330062253,-47.7508485024318,-50.5746511901388,-53.394937369183,-56.212100887766
-5.09090909090909,-3.44384561385424,-6.62657181596358,-9.67787102866828,-12.643087376258,-15.5457089680473,-18.4013360406657,-21.2213733579374,-24.0143725592038,-26.786739987141,-29.5432359746648,-32.2873713449353,-35.0217248651921,-37.7481906303105,-40.4681651991579,-43.1826858914273,-45.8925313654998,-48.5982940362548,-51.300431928181,-53.999305712639
-4.96969696969697,-3.33049408252207,-6.40304256808369,-9.3443920120212,-12.1985269625849,-14.9887011043755,-17.7308860126012,-20.4370382788899,-23.1162019075526,-25.7751297490845,-28.4187833221532,-31.0507633269392,-33.6736651604881,-36.2893569270563,-38.8991876940117,-41.5041389542492,-44.1049327334886,-46.7021079066484,-49.2960737668852,-51.8871475481775
-4.84848484848485,-3.21836156338977,-6.18128446900186,-9.01278158392941,-11.7559477880659,-14.4341037257813,-17.0637186639165,-19.6573195787796,-22.2244140715669,-24.7720630770503,-27.3053990158648,-29.8280954791802,-32.3427596330641,-34.851237392888,-37.3548391213093,-39.8545011980176,-42.3508994141764,-44.8445276898929,-47.3357524538874,-49.8248501836859
-4.72727272727273,-3.10597437759101,-5.95874081215709,-8.67970862670868,-11.3111825514387,-13.8765805985457,-16.3928553908194,-18.8730651827999,-21.3271348000766,-23.7623925519628,-26.1841132435818,-28.5960282135722,-31.0007528378168,-33.4001161194224,-35.7954012459411,-38.1875152646511,-40.5771063718559,-42.9646441257073,-45.3504740672961,-47.7348549189115
-4.60606060606061,-2.9944711684887,-5.7376144918401,-8.34880347441154,-10.8699257839146,-13.3244484652793,-15.7295138676692,-18.0983682893848,-20.441074533029,-22.7650453599204,-25.0755989320967,-27.3764832709601,-29.6703152057013,-31.9589176503906,-34.2435647893188,-36.5251542777009,-38.8043257467248,-41.0815414758879,-43.3571410696979,-45.631378518282
-4.48484848484848,-2.88332199232945,-5.51791229302417,-8.02190918798564,-10.4369653756236,-12.7862932031932,-15.0867078180666,-17.3511373238643,-19.5894016949289,-21.8087625325355,-24.0144623565681,-26.2102238483175,-28.3986670980018,-30.5816320635259,-32.7604149698125,-34.9359358708723,-37.1088550161686,-39.2796527547815,-41.4486841296313,-43.6162161588422
-4.36363636363636,-2.77376214653022,-5.30167049232122,-7.70152678592842,-10.0151765346723,-12.2655129001107,-14.4686657920615,-16.6368068687114,-18.7791281055059,-20.9024591304063,-23.011789825339,-25.1107219468317,-27.2018388267114,-29.2869916159033,-31.3675117146278,-33.4443639164018,-35.5182547968853,-37.5897086179111,-39.6591202198946,-41.7267918468765
-4.24242424242424,-2.66410596545503,-5.08612564313973,-7.38366851624751,-9.59878667114601,-11.7539376231863,-13.8643985264214,-15.941402880878,-17.9933371283571,-20.0264408617913,-22.0453234113454,-24.0533714408075,-26.0530687417207,-28.0462406894003,-30.0342362944962,-32.0180610707349,-33.9984726999453,-35.9760493729486,-37.9512384493215,-39.9243911098417
-4.12121212121212,-2.55377307791675,-4.87002588563511,-7.06622140371863,-9.18438727627773,-11.24646233985,-13.2669392361645,-15.2562224601203,-17.2219591529209,-19.1697964593465,-21.1039037189738,-23.0273594211039,-24.942441968123,-26.8508463393777,-28.7538433765605,-30.6523955220359,-32.5472402563985,-34.4389500154675,-36.3279751962064,-38.2146750950646
-4,-2.44401916654218,-4.65583745257763,-6.75274076438406,-8.77649852554824,-10.7484643302068,-12.6824330323203,-14.5881345339863,-16.4726251354484,-18.341062601882,-20.1972237691059,-22.0438773288111,-23.8830582766906,-25.7162697580624,-27.5446302924154,-29.3689802462508,-31.1899583571705,-33.0080565479699,-34.8236591594085,-36.6370710691287
-3.87878787878788,-2.33314410591031,-4.44077565465641,-6.43920746427724,-8.36931078692954,-10.2515570388306,-12.0989787064147,-13.9207034519449,-15.723338406264,-17.5117168299223,-19.2893825870287,-21.0589338971021,-22.8222759455103,-24.580807859741,-26.3355604926946,-28.0872971988106,-29.8365870487423,-31.583857773136,-33.3294339556184,-35.0735645731816
-3.75757575757576,-2.22292696391067,-4.22662119079169,-6.12627958346207,-7.96179024824156,-9.75259945021538,-11.5108017828632,-13.2447691225498,-14.9605598141769,-16.6626416714184,-18.3543326197426,-20.0381003184683,-21.7157794382822,-23.3887338491481,-25.0579785088301,-26.7242707234385,-28.3881779934474,-30.0501281047263,-31.7104459138088,-33.3693802701529
-3.63636363636364,-2.1143862877687,-4.01283114446996,-5.81033202681351,-7.5467793564692,-9.24117482306537,-10.9049247610109,-12.5456825144757,-14.1688788877305,-15.7784889269241,-17.3774703107714,-18.9680406067909,-20.5518678226026,-22.1302088969076,-23.7040132179359,-25.2740006845021,-26.8407204959176,-28.4045951988048,-29.9659534937791,-31.525054543748
-3.51515151515152,-2.01005004532318,-3.80472164565543,-5.50007742995916,-7.13716321433817,-8.73516201575744,-10.3051389855363,-11.8542301579443,-13.3873440482589,-14.9079988786214,-16.4187815168077,-17.9216222449022,-19.4179735441701,-20.9089344766401,-22.395340999791,-23.8778329728817,-25.3569042555749,-26.8329401792744,-28.3062454936062,-29.7770651273113
-3.39393939393939,-1.90518110387798,-3.59386834978884,-5.1845355235107,-6.71998694326549,-8.21981887273816,-9.69490345404124,-11.1519940246814,-12.5955943718488,-14.0288568276794,-15.4540603470988,-16.8728870941785,-18.2865953409656,-19.696134863442,-21.1022277064314,-22.5054264384526,-23.9061569010432,-25.3047498700044,-26.7014646166449,-28.0965064860951
-3.27272727272727,-1.79452124306489,-3.37290508372216,-4.85582694424401,-6.28696648043865,-7.6858227471765,-9.06289172937005,-10.4245160472306,-11.7748155987822,-13.1166010397316,-14.4518574109737,-15.7820220524396,-17.1081552153801,-18.4310504853982,-19.7513091759146,-21.0693919335693,-22.3856552948729,-23.7003779828118,-25.0137800459998,-26.3260369214335
